family_name,days_total,pos_days,zero_days,zero_rate,pos_rate,qty_total,qty_avg_all_days,qty_avg_pos_days,qty_std_pos_days,years_count,active_months,adi,cv2_pos,peak_doy,season_start_p25,season_start_p50,season_start_p75,demand_class,data_quality_class,seasonality_class
timo capitatus,6273,4,6269,0.9994,0.0006,7.0,0.0011,1.75,1.5,18,3,55.0,0.7347,333,134.0,184.0,234.0,lumpy,weak,very_narrow
pachissandra,6273,4,6269,0.9994,0.0006,20.0,0.0032,5.0,6.0553,18,3,318.3333,1.4667,149,79.5,149.0,219.5,lumpy,weak,very_narrow
myrsine,6273,5,6268,0.9992,0.0008,16.0,0.0026,3.2,2.7749,18,3,19.25,0.752,212,,,,lumpy,weak,very_narrow
viola labradorica,6273,6,6267,0.999,0.001,22.0,0.0035,3.6667,2.7325,18,2,2.2,0.5554,85,,,,lumpy,weak,very_narrow
spinacio,6273,7,6266,0.9989,0.0011,11.0,0.0018,1.5714,1.5119,18,2,9.1667,0.9256,62,,,,lumpy,weak,very_narrow
graminacee muhlenbergia,6273,7,6266,0.9989,0.0011,12.0,0.0019,1.7143,1.2536,18,5,641.3333,0.5347,163,153.2,228.0,293.2,lumpy,weak,seasonal
camomilla,6273,7,6266,0.9989,0.0011,15.0,0.0024,2.1429,2.1931,18,3,13.3333,1.0474,97,,,,lumpy,weak,very_narrow
swainsona,6273,8,6265,0.9987,0.0013,16.0,0.0026,2.0,1.8516,18,3,7.7143,0.8571,167,,,,lumpy,weak,very_narrow
oscularia,6273,10,6263,0.9984,0.0016,25.0,0.004,2.5,2.1731,18,3,567.8889,0.7556,89,97.5,106.0,114.5,lumpy,weak,very_narrow
fiordaliso,6273,10,6263,0.9984,0.0016,28.0,0.0045,2.8,2.3944,18,2,1.7778,0.7313,122,,,,lumpy,weak,very_narrow
cerastium,6273,11,6262,0.9982,0.0018,32.0,0.0051,2.9091,2.3433,18,2,39.2,0.6488,80,66.2,69.5,72.8,lumpy,weak,very_narrow
nicotiana,6273,11,6262,0.9982,0.0018,42.0,0.0067,3.8182,3.5162,18,2,3.3,0.8481,153,,,,lumpy,weak,very_narrow
betula,6273,14,6259,0.9978,0.0022,28.0,0.0045,2.0,1.7541,18,4,232.9231,0.7692,346,57.0,78.0,146.0,lumpy,weak,seasonal
cotinus,6273,15,6258,0.9976,0.0024,22.0,0.0035,1.4667,1.302,18,4,260.8571,0.7881,142,116.0,133.0,134.5,lumpy,weak,seasonal
clerodendrum,6273,16,6257,0.9974,0.0026,25.0,0.004,1.5625,1.5042,18,8,165.2667,0.9267,188,147.0,171.5,192.2,lumpy,weak,broad_seasonal
castanospermum,6273,17,6256,0.9973,0.0027,30.0,0.0048,1.7647,1.9852,18,6,10.4375,1.2656,365,85.8,167.5,249.2,lumpy,weak,seasonal
cephalophyllum,6273,17,6256,0.9973,0.0027,47.0,0.0075,2.7647,2.3057,18,2,2.875,0.6955,77,,,,lumpy,weak,very_narrow
confezione,6273,18,6255,0.9971,0.0029,27.0,0.0043,1.5,1.6891,18,6,22.2353,1.268,45,48.2,51.5,54.8,lumpy,weak,seasonal
triptomene,6273,18,6255,0.9971,0.0029,34.0,0.0054,1.8889,1.4507,18,4,92.0588,0.5899,80,58.0,59.0,60.0,lumpy,weak,seasonal
piretro,6273,19,6254,0.997,0.003,29.0,0.0046,1.5263,1.3068,18,7,22.6111,0.733,65,82.5,100.0,117.5,lumpy,weak,broad_seasonal
argyranthemum,6273,19,6254,0.997,0.003,38.0,0.0061,2.0,1.453,18,3,2.3889,0.5278,75,,,,lumpy,weak,very_narrow
abete ramo,6273,20,6253,0.9968,0.0032,66.0,0.0105,3.3,3.0796,18,2,39.0,0.8709,344,333.5,336.0,338.5,lumpy,medium,very_narrow
mangave,6273,21,6252,0.9967,0.0033,36.0,0.0057,1.7143,2.4524,18,6,63.7,2.0465,99,62.5,81.0,128.8,lumpy,medium,seasonal
